STATION;NAME;LATITUDE;LONGITUDE;ELEVATION;DATE;EVAP
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;27.10.1952;6,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;28.10.1952;6,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;29.10.1952;7,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;30.10.1952;7,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;31.10.1952;7,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;01.11.1952;6,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;02.11.1952;7,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;05.11.1952;0,5
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;06.11.1952;4,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;07.11.1952;4,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;08.11.1952;5,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;11.11.1952;2
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;12.11.1952;3,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;13.11.1952;4,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;14.11.1952;6,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;16.11.1952;7,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;17.11.1952;8,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;20.11.1952;3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;21.11.1952;3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;22.11.1952;6,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;23.11.1952;4,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;24.11.1952;1,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;25.11.1952;2,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;26.11.1952;0,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;27.11.1952;0,5
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;28.11.1952;0,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;29.11.1952;0,5
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;02.12.1952;2,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;03.12.1952;3,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;04.12.1952;5,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;05.12.1952;4,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;06.12.1952;4,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;09.12.1952;6,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;10.12.1952;3,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;11.12.1952;2,5
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;12.12.1952;3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;13.12.1952;3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;14.12.1952;2,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;15.12.1952;2,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;16.12.1952;3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;17.12.1952;3,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;18.12.1952;3,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;19.12.1952;1,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;20.12.1952;3,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;21.12.1952;1,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;22.12.1952;4,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;23.12.1952;2,5
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;24.12.1952;2,5
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;27.12.1952;0,5
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;28.12.1952;0,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;29.12.1952;2
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;30.12.1952;0
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;31.12.1952;4,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;01.01.1953;5,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;02.01.1953;5,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;03.01.1953;3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;04.01.1953;3,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;05.01.1953;3,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;06.01.1953;5,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;07.01.1953;6,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;08.01.1953;6,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;09.01.1953;6,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;10.01.1953;4,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;11.01.1953;5,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;12.01.1953;3,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;13.01.1953;6,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;14.01.1953;7,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;15.01.1953;7,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;16.01.1953;4,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;17.01.1953;1,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;18.01.1953;6,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;19.01.1953;8,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;20.01.1953;6,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;21.01.1953;4,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;22.01.1953;9,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;23.01.1953;4,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;24.01.1953;3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;25.01.1953;3,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;26.01.1953;8,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;27.01.1953;9,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;28.01.1953;6,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;29.01.1953;5,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;30.01.1953;4,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;31.01.1953;4,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;01.02.1953;3,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;02.02.1953;4,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;03.02.1953;6,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;04.02.1953;7,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;05.02.1953;4,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;06.02.1953;5,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;07.02.1953;6,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;08.02.1953;1,5
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;09.02.1953;9,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;10.02.1953;5,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;11.02.1953;1,5
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;12.02.1953;6,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;13.02.1953;4,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;14.02.1953;1,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;15.02.1953;4,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;16.02.1953;6,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;17.02.1953;3,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;18.02.1953;6,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;19.02.1953;10,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;20.02.1953;9,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;21.02.1953;3,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;22.02.1953;4,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;23.02.1953;5,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;24.02.1953;2,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;25.02.1953;0
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;26.02.1953;3,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;27.02.1953;3,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;28.02.1953;8,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;01.03.1953;2,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;02.03.1953;6,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;03.03.1953;9,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;04.03.1953;8,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;05.03.1953;0,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;06.03.1953;7,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;07.03.1953;8,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;08.03.1953;6,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;11.03.1953;6,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;12.03.1953;0,5
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;13.03.1953;9,7
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;14.03.1953;3,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;15.03.1953;7,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;16.03.1953;5,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;17.03.1953;2
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;18.03.1953;12,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;19.03.1953;7,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;20.03.1953;8,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;21.03.1953;12,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;22.03.1953;10,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;23.03.1953;5,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;24.03.1953;8,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;25.03.1953;6,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;26.03.1953;13
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;27.03.1953;5,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;28.03.1953;5,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;29.03.1953;9,7
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;30.03.1953;16,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;31.03.1953;4,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;01.04.1953;10,7
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;02.04.1953;4,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;03.04.1953;9,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;04.04.1953;6,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;05.04.1953;6,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;06.04.1953;10,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;07.04.1953;12,2
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;08.04.1953;9,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;09.04.1953;13
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;10.04.1953;6,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;11.04.1953;7,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;12.04.1953;7,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;13.04.1953;7,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;14.04.1953;11,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;15.04.1953;13,5
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;16.04.1953;8,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;17.04.1953;13,7
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;18.04.1953;16
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;19.04.1953;6,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;20.04.1953;7,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;21.04.1953;10,7
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;22.04.1953;11,7
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;23.04.1953;9,7
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;25.04.1953;10,7
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;26.04.1953;10,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;27.04.1953;8,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;28.04.1953;11,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;29.04.1953;10,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;30.04.1953;16,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;01.05.1953;14,5
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;02.05.1953;10,7
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;03.05.1953;10,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;04.05.1953;6,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;05.05.1953;7,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;06.05.1953;10,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;07.05.1953;6,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;08.05.1953;12,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;09.05.1953;10,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;10.05.1953;19,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;11.05.1953;8,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;12.05.1953;14,2
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;13.05.1953;10,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;14.05.1953;0,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;15.05.1953;7,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;16.05.1953;5,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;17.05.1953;15,5
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;18.05.1953;11,2
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;19.05.1953;6,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;20.05.1953;12,7
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;21.05.1953;13
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;22.05.1953;15,2
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;23.05.1953;16,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;24.05.1953;17
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;25.05.1953;17,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;26.05.1953;9,7
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;27.05.1953;14,5
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;28.05.1953;14,7
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;29.05.1953;15
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;30.05.1953;20,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;31.05.1953;16
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;01.06.1953;13,5
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;02.06.1953;15,2
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;03.06.1953;24,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;04.06.1953;16
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;05.06.1953;15,5
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;06.06.1953;13,2
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;07.06.1953;9,7
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;08.06.1953;10,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;09.06.1953;19,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;10.06.1953;15,7
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;11.06.1953;15
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;12.06.1953;17,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;13.06.1953;13,7
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;14.06.1953;16,5
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;15.06.1953;19,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;16.06.1953;19,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;17.06.1953;17,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;18.06.1953;14,2
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;19.06.1953;3,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;20.06.1953;21,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;21.06.1953;14
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;22.06.1953;17,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;23.06.1953;21,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;24.06.1953;19,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;25.06.1953;20,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;26.06.1953;19,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;27.06.1953;16
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;28.06.1953;20,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;29.06.1953;15,2
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;30.06.1953;14,2
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;01.07.1953;15
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;02.07.1953;15,5
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;03.07.1953;17
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;04.07.1953;14,5
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;05.07.1953;20,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;06.07.1953;17,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;07.07.1953;13,5
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;08.07.1953;11,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;09.07.1953;14,2
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;10.07.1953;3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;12.07.1953;14,2
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;13.07.1953;9,7
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;14.07.1953;7,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;15.07.1953;18,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;16.07.1953;11,7
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;17.07.1953;11,7
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;18.07.1953;6,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;19.07.1953;11,2
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;20.07.1953;18,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;21.07.1953;6,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;22.07.1953;8,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;23.07.1953;12,7
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;24.07.1953;5,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;25.07.1953;16,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;26.07.1953;12,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;27.07.1953;13,7
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;28.07.1953;13,7
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;29.07.1953;11,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;30.07.1953;14,5
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;31.07.1953;13,2
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;01.08.1953;12,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;02.08.1953;8,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;03.08.1953;14,5
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;04.08.1953;11,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;05.08.1953;11,2
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;06.08.1953;14,7
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;07.08.1953;15,7
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;08.08.1953;8,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;09.08.1953;15,5
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;10.08.1953;20,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;11.08.1953;19,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;12.08.1953;17
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;13.08.1953;12,7
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;15.08.1953;11,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;16.08.1953;14
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;17.08.1953;10,2
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;18.08.1953;10,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;19.08.1953;7,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;20.08.1953;3,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;21.08.1953;8,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;22.08.1953;8,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;23.08.1953;8,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;24.08.1953;10,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;25.08.1953;6,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;26.08.1953;11,7
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;27.08.1953;10,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;28.08.1953;8,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;29.08.1953;6,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;30.08.1953;9,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;31.08.1953;8,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;01.09.1953;8,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;02.09.1953;8,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;03.09.1953;2
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;04.09.1953;11,7
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;05.09.1953;4,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;06.09.1953;7,9
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;07.09.1953;14,5
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;12.09.1953;10,2
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;13.09.1953;9,4
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;14.09.1953;7,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;15.09.1953;14,2
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;16.09.1953;11,7
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;26.10.1953;2,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;27.10.1953;6,6
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;28.10.1953;3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;29.10.1953;4,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;30.10.1953;3,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;31.10.1953;5,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;01.11.1953;1,5
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;02.11.1953;3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;03.11.1953;1,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;04.11.1953;6,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;05.11.1953;0
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;06.11.1953;6,1
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;07.11.1953;4,8
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;08.11.1953;1,3
USC00413280;FORT STOCKTON, TX US;30,9071;-102,9153;926;09.11.1953;5,6
